"","X","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","NSPECIES","R_AMERIC"
"2064",2675213,"URN:CornellLabOfOrnithology:EBIRD:OBS440462823","05:00.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","100","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2016-11-04,"17:00:00","obsr431534","S32370579","Traveling","P22","EBIRD",180,4,NA,2,1,"",0,1,0,NA,"","",80,0
"2065",2675214,"URN:CornellLabOfOrnithology:EBIRD:OBS444286024","24:17.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"ASA Aldeia Santuário das Aves","L5093083","H",-31.2242121,-50.9685642,2016-11-16,"6:00:00","obsr521961","S32636010","Traveling","P22","EBIRD",240,2,NA,1,1,"",0,1,0,NA,"","",55,0
"2066",2675215,"URN:CornellLabOfOrnithology:EBIRD:OBS441040576","10:19.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Mostardas -- Porto do Barquinho","L2452833","H",-31.0480539,-50.9907675,2016-11-06,"8:00:00","obsr431534","S32413249","Stationary","P21","EBIRD",60,NA,NA,2,1,"",0,1,0,NA,"","",57,0
"2067",2675216,"URN:CornellLabOfOrnithology:EBIRD:OBS443303706","09:05.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Rio Grande -- Ilha de Torotama","L3752684","H",-31.9227065,-52.1991863,2016-11-13,"17:00:00","obsr611070","S32566794","Traveling","P22","EBIRD",120,5,NA,3,1,"",1,1,0,NA,"Passarinhada com Daniel Berbare e Marcela","",32,0
"2068",2675217,"URN:CornellLabOfOrnithology:EBIRD:OBS444279119","24:17.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"ASA Aldeia Santuário das Aves","L5093083","H",-31.2242121,-50.9685642,2016-11-15,"6:30:00","obsr521961","S32635447","Traveling","P22","EBIRD",240,1,NA,1,1,"",0,1,0,NA,"","",44,0
"2069",2675218,"URN:CornellLabOfOrnithology:EBIRD:OBS444352919","24:17.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","3","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Banhado do Maçarico -- Setor Sul","L5092296","P",-32.2143987,-52.4046564,2016-11-19,"11:20:00","obsr758808","S32641064","Traveling","P22","EBIRD",210,5,NA,4,1,"G2044617",0,1,0,NA,"","",49,0
"2070",2675220,"URN:CornellLabOfOrnithology:EBIRD:OBS444147668","24:17.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","3","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Banhado do Maçarico -- Setor Sul","L5092296","P",-32.2143987,-52.4046564,2016-11-19,"11:20:00","obsr509078","S32626500","Traveling","P22","EBIRD",210,5,NA,4,1,"G2044617",0,1,0,NA,"","",49,0
"2071",2675221,"URN:CornellLabOfOrnithology:EBIRD:OBS440464688","26:33.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Tavares Entrance","L683798","H",-31.3188144,-51.0895157,2016-11-04,"15:00:00","obsr431534","S32370680","Traveling","P22","EBIRD",120,2,NA,2,1,"",0,1,0,NA,"","",58,0
"2072",2675226,"URN:CornellLabOfOrnithology:EBIRD:OBS440652718","35:46.0",5580,"species","American Golden-Plover","Pluvialis dominica","","","156","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe -- Trilha do Talha-Mar","L3738513","H",-31.2563069,-50.9828968,2016-11-05,"7:40:00","obsr431534","S32384308","Traveling","P22","EBIRD_BRA",180,4,NA,2,1,"",0,1,0,NA,"<br>Submitted from eBird Android 1.3","",28,0
"2073",2675230,"URN:CornellLabOfOrnithology:EBIRD:OBS443962409","46:24.0",14501,"species","Araucaria Tit-Spinetail","Leptasthenura setaria","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"BR-Rio Grande do Sul-Passo Fundo-399-553 Rua Padre Aloísio Weber - -28,279x-52,397","L5090318","P",-28.2788756,-52.3969277,2016-11-18,"17:45:00","obsr499705","S32613421","Traveling","P22","EBIRD",150,2,NA,1,1,"",0,1,0,NA,"","",52,0
"2074",2675231,"URN:CornellLabOfOrnithology:EBIRD:OBS440807444","58:16.0",5189,"species","Ash-throated Crake","Mustelirallus albicollis","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"BR-Rio Grande do Sul-Não-Me-Toque-Unnamed Road - -28,486x-52,908","L5062472","P",-28.4856092,-52.9079849,2016-11-05,"18:10:00","obsr499705","S32397088","Traveling","P22","EBIRD",240,20,NA,2,1,"",0,1,0,NA,"<br>Enviada de eBird Android 1.3","",53,0
"2075",2675233,"URN:CornellLabOfOrnithology:EBIRD:OBS444218367","38:29.0",20170,"species","Azure Jay","Cyanocorax caeruleus","","","2","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"R 101 Maquiné","L5093081","P",-29.6943632,-50.1625013,2016-11-14,"","obsr521961","S32631145","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",1,0
"2076",2675235,"URN:CornellLabOfOrnithology:EBIRD:OBS443361174","06:16.0",20170,"species","Azure Jay","Cyanocorax caeruleus","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Santuário Nossa Senhora de Guadalupe","L4935900","H",-31.619215,-52.50727,2016-11-15,"10:00:00","obsr742454","S32570884","Traveling","P22","EBIRD",180,4,NA,2,1,"G2039202",0,1,0,NA,"Fragmento de Floresta Estacional Semidecidual, com o amigo Nícolas Figueiredo","",46,0
"2077",2675236,"URN:CornellLabOfOrnithology:EBIRD:OBS443453446","06:16.0",20170,"species","Azure Jay","Cyanocorax caeruleus","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Santuário Nossa Senhora de Guadalupe","L4935900","H",-31.619215,-52.50727,2016-11-15,"10:00:00","obsr795427","S32577681","Traveling","P22","EBIRD",180,4,NA,2,1,"G2039202",0,1,0,NA,"Fragmento de Floresta Estacional Semidecidual, com o amigo Nícolas Figueiredo","",46,0
"2078",2675241,"URN:CornellLabOfOrnithology:EBIRD:OBS444398375","18:56.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","2","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Estancia Tres Marías","L5053716","P",-31.0756648,-54.2004661,2016-11-01,"15:22:00","obsr23645","S32644396","Traveling","P22","EBIRD",35,1.3,NA,6,1,"G2045013",0,1,0,NA,"<br />Submitted from eBird Android 1.2.5","",27,0
"2079",2675242,"URN:CornellLabOfOrnithology:EBIRD:OBS443548937","39:22.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"RS290 km88","L5086487","P",-29.9675387,-51.1343193,2016-11-05,"11:00:00","obsr533243","S32584681","Stationary","P21","EBIRD",25,NA,NA,1,1,"",0,1,0,NA,"sunny","",21,0
"2080",2675244,"URN:CornellLabOfOrnithology:EBIRD:OBS440651341","36:44.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","6","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2016-11-05,"14:37:00","obsr431534","S32384221","Traveling","P22","EBIRD_BRA",221,5,NA,2,1,"",0,1,0,NA,"Contagem de aves áquaticas - Wader quest","",22,0
"2081",2675245,"URN:CornellLabOfOrnithology:EBIRD:OBS443957205","57:14.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","50","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Porto Alegre -- Parque Mascarenhas de Morais","L3625628","H",-29.9832637,-51.1883068,2016-11-18,"18:00:00","obsr431609","S32613018","Traveling","P22","EBIRD",90,1,NA,1,1,"",0,1,0,NA,"","Um bando chegando para passar a noite no banhado",15,0
"2082",2675247,"URN:CornellLabOfOrnithology:EBIRD:OBS440009484","35:56.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","2","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Estancia Tres Marías","L5053716","P",-31.0756648,-54.2004661,2016-11-01,"15:22:00","obsr119582","S32336453","Traveling","P22","EBIRD",35,1.3,NA,6,1,"G2045013",0,1,0,NA,"<br />Submitted from eBird Android 1.2.5","",12,0
"2083",2675249,"URN:CornellLabOfOrnithology:EBIRD:OBS444283060","51:41.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Tavares -- Estrada Rincão","L3743312","H",-31.175342,-51.0336657,2016-11-16,"14:00:00","obsr521961","S32635752","Traveling","P22","EBIRD",60,20,NA,2,0,"",0,1,0,NA,"","",29,0
"2084",2675254,"URN:CornellLabOfOrnithology:EBIRD:OBS444101740","31:21.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Estrada de Santa Izabel / BR 473","L4083258","H",-32.1608369,-52.5499678,2016-11-19,"10:00:00","obsr509078","S32623371","Traveling","P22","EBIRD",90,3,NA,4,1,"G2044209",0,1,0,NA,"Na companhia de Fabiano Rosa e Gustavo Gomes. Observações feitas na maior parte do tempo de dentro do carro. Manhã ensolarada, sem vento. Nível de água nos banhados baixo.","",38,0
"2085",2675255,"URN:CornellLabOfOrnithology:EBIRD:OBS444275806","22:33.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2016-11-14,"15:00:00","obsr521961","S32635225","Traveling","P22","EBIRD",60,20,NA,2,0,"",0,1,0,NA,"","",19,0
"2086",2675257,"URN:CornellLabOfOrnithology:EBIRD:OBS442278101","00:58.0",7222,"species","Bare-faced Ibis","Phimosus infuscatus","","","5","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Rio Grande--Banhado da Marambaia","L6776025","H",-31.7943577,-52.3167658,2016-11-12,"7:20:00","obsr611070","S32499591","Traveling","P22","EBIRD",180,5,NA,2,1,"",1,1,0,NA,"Passarinhada com Fabiano Souto","",51,0
