;n_estabelecimentos
Cristal;151
Cristal do Sul;210
Cruz Alta;196
Cruzaltense;246
Cruzeiro do Sul;282
David Canabarro;304
Derrubadas;317
Dezesseis de Novembro;360
Dilermando de Aguiar;114
Dois Irmãos;33
Dois Irmãos das Missões;127
Dois Lajeados;235
Dom Feliciano;664
Dom Pedro de Alcântara;19
Dom Pedrito;156
Dona Francisca;168
Doutor Maurício Cardoso;341
Doutor Ricardo;149
Eldorado do Sul;39
Encantado;219
Encruzilhada do Sul;610
Engenho Velho;76
Entre-Ijuís;300
Entre Rios do Sul;126
Erebango;115
Erechim;456
Ernestina;178
Herval;301
Erval Grande;326
Erval Seco;438
Esmeralda;104
Esperança do Sul;338
Espumoso;282
Estação;113
Estância Velha;10
Estrela;353
Estrela Velha;302
Eugênio de Castro;112
Fagundes Varela;190
Farroupilha;309
Faxinal do Soturno;223
Faxinalzinho;123
Fazenda Vilanova;77
Feliz;80
Flores da Cunha;126
Floriano Peixoto;222
Fontoura Xavier;525
Formigueiro;174
Forquetinha;315
Fortaleza dos Valos;162
Frederico Westphalen;555
Garibaldi;138
Garruchos;148
Gaurama;291
General Câmara;112
Gentil;147
Getúlio Vargas;237
Giruá;461
Glorinha;206
Gramado;131
Gramado dos Loureiros;126
Gramado Xavier;205
Gravataí;144
Guabiju;132
Guaíba;85
Guaporé;317
Guarani das Missões;549
Harmonia;73
Herveiras;113
Horizontina;467
Hulha Negra;635
Humaitá;383
Ibarama;287
Ibiaçá;241
Ibiraiaras;378
Ibirapuitã;182
Ibirubá;516
Igrejinha;112
Ijuí;850
Ilópolis;156
Imbé;8
Imigrante;217
Independência;289
Inhacorá;106
Ipê;190
Ipiranga do Sul;109
Iraí;458
Itaara;39
Itacurubi;311
Itapuca;174
Itaqui;45
Itati;52
Itatiba do Sul;255
Ivorá;165
Ivoti;24
Jaboticaba;293
Jacuizinho;108
Jacutinga;121
Jaguarão;197
Jaguari;260
Jaquirana;180
Jari;314
Jóia;622
Júlio de Castilhos;441
Lagoa Bonita do Sul;124
Lagoão;408
Lagoa dos Três Cantos;81
Lagoa Vermelha;494
Lajeado;155
Lajeado do Bugre;119
Lavras do Sul;208
Liberato Salzano;458
Lindolfo Collor;15
Linha Nova;78
Machadinho;193
Maçambará;5
Mampituba;79
Manoel Viana;216
Maquiné;85
Maratá;117
Marau;667
Marcelino Ramos;257
Mariana Pimentel;39
Mariano Moro;101
Marques de Souza;335
Mata;123
Mato Castelhano;168
Mato Leitão;129
Mato Queimado;184
Maximiliano de Almeida;231
Minas do Leão;4
Miraguaí;427
Montauri;183
Monte Alegre dos Campos;256
Monte Belo do Sul;82
Montenegro;223
Mormaço;177
Morrinhos do Sul;51
Morro Redondo;182
Morro Reuter;62
Mostardas;76
Muçum;95
Muitos Capões;220
Muliterno;170
Não-Me-Toque;185
Nicolau Vergueiro;117
Nonoai;150
Nova Alvorada;228
Nova Araçá;168
Nova Bassano;378
Nova Boa Vista;213
Nova Bréscia;205
Nova Candelária;337
Nova Esperança do Sul;90
Nova Hartz;43
Nova Pádua;113
Nova Palma;247
Nova Petrópolis;312
Nova Prata;215
Nova Ramada;242
Nova Roma do Sul;184
